订单ID,日期,品类,杯型,单价,销量,门店,是否会员,销售额
ORD1035,2026-07-08,奶盖茶,大杯,19,1,A店-大学城,是,19
ORD1036,2026-07-22,奶盖茶,大杯,19,4,B店-商业街,否,76
ORD1037,2026-07-28,珍珠奶茶,中杯,12,4,A店-大学城,否,48
ORD1038,2026-07-26,珍珠奶茶,中杯,12,5,A店-大学城,否,60
ORD1039,2026-07-05,奶盖茶,中杯,16,5,B店-商业街,是,80
ORD1040,2026-07-15,珍珠奶茶,中杯,12,5,C店-写字楼,是,60
ORD1041,2026-07-03,果茶,中杯,14,4,B店-商业街,否,56
ORD1042,2026-07-07,奶盖茶,中杯,16,4,A店-大学城,是,64
ORD1043,2026-07-13,纯茶,大杯,13,4,B店-商业街,否,52
ORD1044,2026-07-05,果茶,大杯,17,4,A店-大学城,是,68
ORD1045,2026-07-24,纯茶,中杯,10,5,A店-大学城,否,50
ORD1046,2026-07-17,果茶,中杯,14,1,C店-写字楼,是,14
ORD1047,2026-07-03,珍珠奶茶,中杯,12,1,B店-商业街,是,12
ORD1048,2026-07-19,珍珠奶茶,中杯,12,8,B店-商业街,否,96
ORD1049,2026-07-30,纯茶,中杯,10,3,C店-写字楼,是,30
ORD1050,2026-07-09,奶盖茶,中杯,16,3,C店-写字楼,否,48
ORD1051,2026-07-11,珍珠奶茶,中杯,12,8,B店-商业街,是,96
ORD1052,2026-07-03,果茶,大杯,17,3,A店-大学城,是,51
ORD1053,2026-07-29,果茶,大杯,17,2,B店-商业街,否,34
ORD1054,2026-07-27,纯茶,中杯,10,5,C店-写字楼,否,50
ORD1055,2026-07-30,珍珠奶茶,中杯,12,1,B店-商业街,是,12
ORD1056,2026-07-24,果茶,大杯,17,5,B店-商业街,是,85
ORD1057,2026-07-23,纯茶,中杯,10,3,C店-写字楼,否,30
ORD1058,2026-07-09,珍珠奶茶,中杯,12,4,C店-写字楼,否,48
ORD1059,2026-07-02,珍珠奶茶,大杯,15,3,A店-大学城,是,45
ORD1060,2026-07-24,奶盖茶,大杯,19,1,C店-写字楼,是,19
ORD1061,2026-07-03,果茶,中杯,14,5,B店-商业街,是,70
ORD1062,2026-07-14,果茶,中杯,14,3,B店-商业街,是,42
ORD1063,2026-07-29,纯茶,中杯,10,2,C店-写字楼,是,20
ORD1064,2026-07-12,奶盖茶,中杯,16,3,A店-大学城,否,48
ORD1065,2026-07-01,果茶,大杯,17,2,B店-商业街,否,34
ORD1066,2026-07-06,珍珠奶茶,大杯,15,4,A店-大学城,是,60
ORD1067,2026-07-07,奶盖茶,大杯,19,2,B店-商业街,是,38
ORD1068,2026-07-01,果茶,大杯,17,3,B店-商业街,是,51
ORD1069,2026-07-31,纯茶,大杯,13,5,C店-写字楼,否,65
ORD1070,2026-07-22,纯茶,中杯,10,3,A店-大学城,是,30
ORD1071,2026-07-19,纯茶,中杯,10,7,A店-大学城,否,70
ORD1072,2026-07-24,纯茶,大杯,13,5,C店-写字楼,是,65
ORD1073,2026-07-13,果茶,大杯,17,4,A店-大学城,是,68
ORD1074,2026-07-17,果茶,大杯,17,1,B店-商业街,否,17
ORD1075,2026-07-20,纯茶,中杯,10,3,C店-写字楼,否,30
ORD1076,2026-07-22,奶盖茶,大杯,19,3,B店-商业街,是,57
ORD1077,2026-07-07,奶盖茶,大杯,19,2,C店-写字楼,否,38
ORD1078,2026-07-13,珍珠奶茶,大杯,15,2,B店-商业街,否,30
ORD1079,2026-07-26,纯茶,大杯,13,7,B店-商业街,是,91
ORD1080,2026-07-17,奶盖茶,中杯,16,1,C店-写字楼,否,16
ORD1081,2026-07-17,纯茶,中杯,10,3,A店-大学城,是,30
ORD1082,2026-07-26,果茶,中杯,14,2,A店-大学城,否,28
ORD1083,2026-07-20,珍珠奶茶,大杯,15,5,B店-商业街,是,75
ORD1084,2026-07-23,奶盖茶,大杯,19,2,B店-商业街,是,38
ORD1085,2026-07-21,珍珠奶茶,中杯,12,2,B店-商业街,是,24
ORD1086,2026-07-26,奶盖茶,中杯,16,3,C店-写字楼,否,48
ORD1087,2026-07-05,奶盖茶,大杯,19,8,B店-商业街,否,152
ORD1088,2026-07-27,奶盖茶,中杯,16,4,C店-写字楼,否,64
ORD1089,2026-07-09,果茶,大杯,17,4,C店-写字楼,是,68
ORD1090,2026-07-09,奶盖茶,中杯,16,3,C店-写字楼,是,48
ORD1091,2026-07-09,纯茶,大杯,13,1,C店-写字楼,是,13
ORD1092,2026-07-05,果茶,大杯,17,5,C店-写字楼,是,85
ORD1093,2026-07-03,奶盖茶,大杯,19,5,B店-商业街,否,95
ORD1094,2026-07-14,珍珠奶茶,中杯,12,4,B店-商业街,是,48
ORD1095,2026-07-28,奶盖茶,大杯,19,3,A店-大学城,否,57
ORD1096,2026-07-25,奶盖茶,大杯,19,8,C店-写字楼,是,152
ORD1097,2026-07-16,果茶,大杯,17,4,B店-商业街,是,68
ORD1098,2026-07-13,纯茶,大杯,13,2,C店-写字楼,否,26
ORD1099,2026-07-30,果茶,中杯,14,5,B店-商业街,是,70
ORD1100,2026-07-03,奶盖茶,中杯,16,2,B店-商业街,是,32
ORD1101,2026-07-09,奶盖茶,大杯,19,4,A店-大学城,否,76
ORD1102,2026-07-11,奶盖茶,大杯,19,4,B店-商业街,否,76
ORD1103,2026-07-01,珍珠奶茶,大杯,15,1,A店-大学城,是,15
ORD1104,2026-07-25,珍珠奶茶,中杯,12,4,A店-大学城,是,48
ORD1105,2026-07-08,果茶,大杯,17,1,C店-写字楼,是,17
ORD1106,2026-07-15,纯茶,大杯,13,5,A店-大学城,是,65
ORD1107,2026-07-25,果茶,大杯,17,6,A店-大学城,否,102
ORD1108,2026-07-19,奶盖茶,大杯,19,3,C店-写字楼,是,57
ORD1109,2026-07-04,纯茶,中杯,10,3,C店-写字楼,否,30
ORD1110,2026-07-22,纯茶,中杯,10,3,C店-写字楼,是,30
ORD1111,2026-07-28,奶盖茶,大杯,19,4,A店-大学城,否,76
ORD1112,2026-07-21,奶盖茶,中杯,16,2,B店-商业街,否,32
ORD1113,2026-07-20,奶盖茶,大杯,19,5,B店-商业街,否,95
ORD1114,2026-07-11,果茶,中杯,14,5,B店-商业街,否,70
ORD1115,2026-07-19,奶盖茶,大杯,19,6,A店-大学城,是,114
ORD1116,2026-07-16,果茶,大杯,17,3,B店-商业街,否,51
ORD1117,2026-07-29,纯茶,中杯,10,2,C店-写字楼,是,20
ORD1118,2026-07-08,奶盖茶,大杯,19,2,C店-写字楼,否,38
ORD1119,2026-07-21,奶盖茶,大杯,19,1,A店-大学城,否,19
ORD1120,2026-07-08,奶盖茶,中杯,16,5,B店-商业街,否,80
ORD1121,2026-07-16,纯茶,大杯,13,5,C店-写字楼,否,65
ORD1122,2026-07-12,奶盖茶,大杯,19,4,B店-商业街,是,76
ORD1123,2026-07-24,果茶,大杯,17,5,A店-大学城,是,85
ORD1124,2026-07-07,果茶,大杯,17,5,B店-商业街,否,85
ORD1125,2026-07-04,果茶,大杯,17,4,A店-大学城,否,68
ORD1126,2026-07-01,果茶,大杯,17,1,A店-大学城,否,17
ORD1127,2026-07-23,果茶,大杯,17,1,A店-大学城,否,17
ORD1128,2026-07-16,奶盖茶,大杯,19,2,B店-商业街,是,38
ORD1129,2026-07-09,奶盖茶,中杯,16,4,A店-大学城,否,64
ORD1130,2026-07-03,珍珠奶茶,中杯,12,5,A店-大学城,否,60
ORD1131,2026-07-03,果茶,中杯,14,4,C店-写字楼,是,56
ORD1132,2026-07-25,奶盖茶,大杯,19,6,B店-商业街,否,114
ORD1133,2026-07-10,珍珠奶茶,中杯,12,2,A店-大学城,否,24
ORD1134,2026-07-22,珍珠奶茶,中杯,12,2,A店-大学城,是,24
ORD1135,2026-07-06,珍珠奶茶,大杯,15,5,B店-商业街,否,75
ORD1136,2026-07-10,珍珠奶茶,中杯,12,3,B店-商业街,否,36
ORD1137,2026-07-03,果茶,大杯,17,5,C店-写字楼,是,85
ORD1138,2026-07-14,珍珠奶茶,中杯,12,2,C店-写字楼,否,24
ORD1139,2026-07-27,果茶,中杯,14,2,A店-大学城,否,28
ORD1140,2026-07-20,纯茶,大杯,13,4,A店-大学城,否,52
ORD1141,2026-07-23,奶盖茶,大杯,19,5,C店-写字楼,否,95
ORD1142,2026-07-15,珍珠奶茶,中杯,12,3,B店-商业街,否,36
ORD1143,2026-07-01,珍珠奶茶,中杯,12,5,C店-写字楼,是,60
ORD1144,2026-07-25,纯茶,中杯,10,7,A店-大学城,否,70
ORD1145,2026-07-30,纯茶,中杯,10,4,C店-写字楼,否,40
ORD1146,2026-07-03,奶盖茶,大杯,19,3,B店-商业街,否,57
ORD1147,2026-07-22,珍珠奶茶,中杯,12,4,B店-商业街,否,48
ORD1148,2026-07-10,奶盖茶,中杯,16,1,B店-商业街,否,16
ORD1149,2026-07-09,纯茶,中杯,10,5,B店-商业街,是,50
ORD1150,2026-07-22,奶盖茶,大杯,19,2,A店-大学城,否,38
ORD1151,2026-07-20,奶盖茶,大杯,19,2,A店-大学城,否,38
ORD1152,2026-07-18,果茶,大杯,17,5,B店-商业街,是,85
ORD1153,2026-07-21,果茶,中杯,14,5,B店-商业街,是,70
ORD1154,2026-07-18,奶盖茶,中杯,16,3,A店-大学城,是,48
ORD1155,2026-07-21,果茶,大杯,17,3,C店-写字楼,否,51
ORD1156,2026-07-14,奶盖茶,大杯,19,4,A店-大学城,是,76
ORD1157,2026-07-13,果茶,中杯,14,3,A店-大学城,否,42
ORD1158,2026-07-11,纯茶,中杯,10,6,B店-商业街,否,60
ORD1159,2026-07-28,果茶,大杯,17,4,C店-写字楼,否,68
ORD1160,2026-07-11,奶盖茶,大杯,19,5,B店-商业街,是,95
ORD1161,2026-07-19,奶盖茶,中杯,16,3,B店-商业街,否,48
ORD1162,2026-07-23,奶盖茶,大杯,19,2,C店-写字楼,否,38
ORD1163,2026-07-31,珍珠奶茶,中杯,12,5,C店-写字楼,否,60
ORD1164,2026-07-28,珍珠奶茶,大杯,15,5,A店-大学城,否,75
ORD1165,2026-07-01,果茶,大杯,17,2,C店-写字楼,是,34
ORD1166,2026-07-16,纯茶,大杯,13,4,C店-写字楼,是,52
ORD1167,2026-07-28,纯茶,大杯,13,4,B店-商业街,是,52
ORD1168,2026-07-20,珍珠奶茶,中杯,12,3,C店-写字楼,是,36
ORD1169,2026-07-24,珍珠奶茶,大杯,15,1,A店-大学城,否,15
ORD1170,2026-07-06,纯茶,中杯,10,3,A店-大学城,是,30
ORD1171,2026-07-10,纯茶,大杯,13,2,B店-商业街,是,26
ORD1172,2026-07-17,奶盖茶,中杯,16,2,A店-大学城,是,32
ORD1173,2026-07-20,奶盖茶,中杯,16,5,B店-商业街,是,80
ORD1174,2026-07-08,奶盖茶,大杯,19,3,B店-商业街,是,57
ORD1175,2026-07-29,奶盖茶,大杯,19,5,C店-写字楼,是,95
ORD1176,2026-07-03,奶盖茶,大杯,19,3,C店-写字楼,否,57
ORD1177,2026-07-23,纯茶,大杯,13,2,B店-商业街,否,26
ORD1178,2026-07-28,奶盖茶,中杯,16,4,A店-大学城,否,64
ORD1179,2026-07-19,纯茶,大杯,13,6,A店-大学城,是,78
ORD1180,2026-07-19,珍珠奶茶,大杯,15,5,B店-商业街,否,75
ORD1181,2026-07-08,果茶,大杯,17,2,C店-写字楼,是,34
ORD1182,2026-07-29,珍珠奶茶,大杯,15,1,B店-商业街,否,15
ORD1183,2026-07-24,果茶,中杯,14,3,B店-商业街,否,42
ORD1184,2026-07-06,果茶,中杯,14,3,C店-写字楼,否,42
ORD1185,2026-07-27,果茶,大杯,17,3,B店-商业街,否,51
ORD1186,2026-07-26,珍珠奶茶,大杯,15,3,A店-大学城,否,45
ORD1187,2026-07-31,纯茶,中杯,10,1,B店-商业街,否,10
ORD1188,2026-07-18,珍珠奶茶,大杯,15,6,B店-商业街,否,90
ORD1189,2026-07-27,纯茶,中杯,10,2,C店-写字楼,否,20
ORD1190,2026-07-01,纯茶,中杯,10,1,C店-写字楼,否,10
ORD1191,2026-07-30,纯茶,大杯,13,2,A店-大学城,是,26
ORD1192,2026-07-31,珍珠奶茶,大杯,15,1,B店-商业街,是,15
ORD1193,2026-07-08,果茶,大杯,17,3,B店-商业街,否,51
ORD1194,2026-07-19,果茶,大杯,17,3,C店-写字楼,否,51
ORD1195,2026-07-31,纯茶,中杯,10,3,C店-写字楼,是,30
ORD1196,2026-07-15,奶盖茶,中杯,16,1,B店-商业街,否,16
ORD1197,2026-07-18,纯茶,中杯,10,4,B店-商业街,是,40
ORD1198,2026-07-31,奶盖茶,中杯,16,2,C店-写字楼,是,32
ORD1199,2026-07-02,纯茶,中杯,10,5,A店-大学城,是,50
ORD1200,2026-07-03,果茶,中杯,14,3,A店-大学城,是,42
